Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1soECbw2IFdWt5W8Rb4uG7,"Payasos","Utopia","Romeo Santos;Frank Reyes",2019-04-05,204967,55,false,vane_sarahi,2022-03-26T23:36:32Z,"bachata,latin,merengue","Sony Music Latin",0.855,0.698,10,-4.511,0,0.0447,0.242,0,0.347,0.906,124.058,4
spotify:track:1nYzjrdVQ8RpF93M0jPFW7,"Remember That Night?","Remember That Night?","Sara Kays",2020-11-06,227186,71,false,vane_sarahi,2022-03-26T23:36:42Z,"","P2021",0.679,0.61,7,-10.936,0,0.0305,0.585,0.0000951,0.156,0.554,123.978,4
spotify:track:0kOUusNPraZGQfqcnA1zoP,"Wave (feat. Mike Sabath)","TREAT MYSELF","Meghan Trainor;Mike Sabath",2020-01-31,176947,41,true,vane_sarahi,2022-03-26T23:36:49Z,"","Epic",0.586,0.542,5,-6.883,1,0.185,0.0254,0.0000021,0.131,0.43,125.078,4
spotify:track:4WVeyESDxYBmUjwhJt08sS,"Bachata a Lo Loco","Bachata a Lo Loco","Dustin Richie",2016-08-02,205456,46,false,vane_sarahi,2022-03-26T23:36:59Z,"bachata","Dustin Richie",0.717,0.84,3,-6.185,0,0.0338,0.312,0,0.115,0.962,143.933,4
spotify:track:5e50NiIlOc2YJIftHzoehd,"MALA SANTA","MALA SANTA","Becky G",2019-10-18,173834,59,false,vane_sarahi,2022-03-26T23:37:32Z,"reggaeton,latin","Kemosabe Records/RCA Records/Sony Music Latin",0.851,0.701,9,-3.649,1,0.0396,0.311,0.000208,0.163,0.527,98.039,4
spotify:track:2AY1UAimvTqjJC8vDJsOyy,"Mayores","MALA SANTA","Becky G;Bad Bunny",2019-10-18,203183,79,false,vane_sarahi,2022-03-26T23:37:39Z,"reggaeton,latin,trap latino,urbano latino","Kemosabe Records/RCA Records/Sony Music Latin",0.746,0.836,5,-4.336,0,0.0445,0.145,0.00291,0.116,0.874,96.993,4
spotify:track:7vgv8KZBSo0TPzyIWG9yzV,"Salt","Salt","Ava Max",2019-12-12,180283,2,false,vane_sarahi,2022-03-26T23:37:58Z,"","Atlantic Records",0.693,0.835,6,-3.242,1,0.0623,0.131,0,0.073,0.743,128.057,4
spotify:track:08o7YsYkQXGjamCe9eDrrK,"Match In The Rain","These Two Windows","Alec Benjamin",2020-05-29,159006,53,false,vane_sarahi,2022-03-26T23:38:13Z,"","P2020",0.777,0.716,10,-7.342,0,0.256,0.734,0.000083,0.116,0.829,120.052,4
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,"Say So","Hot Pink","Doja Cat",2019-11-07,237894,77,true,vane_sarahi,2022-03-26T23:38:21Z,"","Kemosabe Records/RCA Records",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
spotify:track:7fPuWrlpwDcHm5aHCH5D9t,"Roses - Imanbek Remix","Roses (Imanbek Remix)","SAINt JHN;Imanbek",2019-09-13,176218,2,true,vane_sarahi,2022-03-26T23:38:34Z,"slap house","Godd Complexx / HITCO",0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4
spotify:track:2CPqh63wRVscbceKcPxwvv,"The Ocean (feat. Shy Martin)","The Ocean (feat. Shy Martin)","Mike Perry;shy martin",2016-04-15,183414,66,false,vane_sarahi,2022-03-26T23:38:41Z,"tropical house","DF Records",0.632,0.575,5,-6.478,1,0.029,0.0225,0.00000181,0.104,0.188,90.037,4
spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,"(I Just) Died In Your Arms","Broadcast","Cutting Crew",1986-01-01,280400,83,false,vane_sarahi,2022-03-26T23:40:45Z,"","Ten Records",0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4
spotify:track:0NdTUS4UiNYCNn5FgVqKQY,"Snap Out Of It","AM","Arctic Monkeys",2013-09-09,193030,79,false,vane_sarahi,2022-03-26T23:41:06Z,"indie,garage rock","Domino Recording Co",0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,4
spotify:track:4PMLEEYw4mblYsPlDSHKyu,"Get Stüpid","Crystalline","bülow",2019-04-05,172800,47,true,vane_sarahi,2022-03-26T23:41:28Z,"","Universal Music Canada",0.843,0.797,11,-4.597,0,0.0419,0.202,0.000117,0.0822,0.613,109.973,4
spotify:track:18bfGz1Fk1R0hZwe3niqli,"She's Like The Wind","Dirty Dancing (Original Television Soundtrack)","Calum Scott",2017-05-19,204613,47,false,vane_sarahi,2022-03-26T23:41:44Z,"soft pop","Deep Well - Dirty Dancing Soundtrack",0.601,0.593,6,-7.378,0,0.0379,0.711,0.0000172,0.122,0.324,116.944,4
spotify:track:2iUXsYOEPhVqEBwsqP70rE,"Youngblood","Youngblood (Deluxe)","5 Seconds of Summer",2018-06-15,203417,81,false,vane_sarahi,2022-03-26T23:43:17Z,"","Capitol",0.597,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.276,4
spotify:track:6HaA6tCGwWJBdMkDFqfHsH,"Younger - Kygo Remix","Younger","Seinabo Sey;Kygo",2014-01-01,351573,32,false,vane_sarahi,2022-03-26T23:43:25Z,"tropical house","Universal Music AB",0.691,0.488,5,-7.936,1,0.0788,0.133,0.000205,0.0815,0.63,114.011,4
spotify:track:70eDxAyAraNTiD6lx2ZEnH,"Ex's & Oh's","Love Stuff","Elle King",2015-02-13,202177,76,false,vane_sarahi,2022-03-26T23:43:54Z,"","RCA Records Label",0.612,0.921,7,-2.882,1,0.085,0.0183,0,0.0576,0.446,139.988,4
spotify:track:1CKtxKqyFsFITCH4SpDrWj,"You Make Me","True","Avicii",2013-09-13,233346,1,false,vane_sarahi,2022-03-26T23:44:21Z,"edm","Universal Music AB",0.586,0.727,6,-4.799,1,0.039,0.00247,0.0107,0.152,0.496,124.99,4
spotify:track:46lFttIf5hnUZMGvjK0Wxo,"Runaway (U & I)","Pharmacy","Galantis",2015-06-05,227073,77,false,vane_sarahi,2022-03-26T23:44:36Z,"","Big Beat Records/Atlantic",0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,4
spotify:track:5fnA9mkIfScSqHIpeDyvck,"Prayer in C - Robin Schulz Radio Edit","Prayer in C","Lilly Wood and The Prick;Robin Schulz",2014-05-16,189413,77,false,vane_sarahi,2022-03-26T23:44:50Z,"french indie pop,tropical house","WM Germany",0.763,0.875,9,-5.797,0,0.0262,0.024,0.00000541,0.599,0.8,123.013,4
spotify:track:5NetSTs4dgiR6GLrZOQcwJ,"Can't Stop Dancin'","Can't Stop Dancin'","Becky G",2014-11-04,198852,57,false,vane_sarahi,2022-03-26T23:45:01Z,"reggaeton,latin","Kemosabe Records/RCA Records",0.645,0.669,0,-7.946,0,0.0638,0.00545,0.00138,0.0997,0.568,100.052,4
spotify:track:6DtspXXBQJZVenJoCd503T,"Un Beso","Un Beso","Chris Paradise",2021-10-01,243777,30,false,vane_sarahi,2022-04-22T00:52:26Z,"bachata","21 MUSIC IMPERATORƎ",0.843,0.675,11,-5.879,1,0.0364,0.114,0.00000434,0.107,0.744,116.033,4
spotify:track:0V6I7qoMHTOAybBHfSuwef,"Mala Mala Mala","Mala Mala Mala","Chris Paradise",2022-04-07,179454,41,false,vane_sarahi,2022-04-22T00:52:31Z,"bachata","21 MUSIC IMPERATORƎ",0.913,0.662,9,-6.812,0,0.0619,0.136,0,0.0805,0.911,109.988,4
spotify:track:4bJygwUKrRgq1stlNXcgMg,"All The Things She Said","200 KM/H In The Wrong Lane (10th Anniversary Edition)","t.A.T.u.",2002,214440,87,true,vane_sarahi,2022-05-10T00:26:45Z,"","Interscope",0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,4
spotify:track:6ndmKwWqMozN2tcZqzCX4K,"Remember the Name (feat. Styles of Beyond)","The Rising Tied","Fort Minor;Styles Of Beyond",2005-11-21,230493,68,true,vane_sarahi,2022-05-21T00:59:04Z,"rap rock","Machine Shop/Warner Records",0.688,0.835,8,-4.162,1,0.0911,0.0583,0.00000287,0.0795,0.88,84.858,4
spotify:track:1QLOTvOnsXZgBwgeLi7gEo,"Diosa (Bachata Version)","Diosa (Bachata Version)","Rauky;Dimen5ions;DJ Alejandro",2021-05-27,175789,18,false,vane_sarahi,2022-06-20T00:53:06Z,"bachata","Rauky",0.783,0.806,4,-5.665,0,0.0372,0.274,0.000649,0.159,0.575,113.994,4
spotify:track:2yRQwR5UGpqYAehohN0InW,"Tanga","Tanga","Chris Paradise",2021-07-23,199562,34,true,vane_sarahi,2022-06-20T00:53:13Z,"bachata","21 MUSIC IMPERATORƎ",0.861,0.606,6,-7.579,0,0.0706,0.445,0,0.102,0.798,118.085,4
spotify:track:0qaGCyD89jA7Hn5akwTE1P,"Bachata En Barcelona","Bachata En Barcelona","Chris Paradise;Alex Producer",2022-06-10,170725,16,false,vane_sarahi,2022-06-20T00:53:21Z,"bachata","21 MUSIC IMPERATORE",0.908,0.664,7,-7.536,0,0.0333,0.608,0.0000299,0.103,0.719,125.035,4
spotify:track:0zit8iIkTLVYzdv6G3bxqA,"Cenicienta & El Idiota","Cenicienta & El Idiota","Chris Paradise",2021-03-04,173225,2,false,vane_sarahi,2022-06-20T00:53:28Z,"bachata","21 MUSIC IMPERATORƎ",0.806,0.654,11,-6.812,1,0.0361,0.374,0.0000339,0.113,0.93,125.946,4
spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Volví","Volví","Aventura;Bad Bunny",2021-08-03,230125,76,true,vane_sarahi,2022-06-22T23:39:13Z,"bachata,reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,4
spotify:track:23L5CiUhw2jV1OIMwthR3S,"In the Name of Love","In the Name of Love","Martin Garrix;Bebe Rexha",2016-07-29,198815,81,false,vane_sarahi,2023-02-01T23:11:53Z,"edm,progressive house,electronica","Epic Amsterdam",0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,4
spotify:track:4ZWyj5whGZ3nNLwOtOLrMt,"I Want More","I Want More","Marc Benjamin",2021-02-19,129600,43,false,vane_sarahi,2023-02-01T23:12:02Z,"slap house,big room,future house","Future House Music",0.746,0.888,1,-6.15,1,0.0726,0.0401,0.00191,0.0835,0.296,124.954,4
spotify:track:5MxFWjuqQIsbNWbMdMdbli,"La Jumpa","La Jumpa","Arcángel;Bad Bunny",2022-11-30,255693,74,true,vane_sarahi,2023-02-01T23:12:10Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC.",0.713,0.703,8,-5.769,1,0.194,0.298,0,0.321,0.576,123.06,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta;Bebe Rexha",2022-08-26,175238,85,true,vane_sarahi,2023-02-01T23:12:21Z,"edm","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
spotify:track:47EiUVwUp4C9fGccaPuUCS,"DÁKITI","DÁKITI","Bad Bunny;JHAYCO",2020-10-30,205090,83,true,vane_sarahi,2023-02-01T23:12:26Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.731,0.573,4,-10.059,0,0.0544,0.401,0.0000522,0.113,0.145,109.928,4
spotify:track:5gfPJ45gpn3ThswDyeW0Qc,"Last Night (feat. Keyshia Cole)","Press Play","Diddy;Keyshia Cole",2006-10-13,388226,65,true,vane_sarahi,2023-02-01T23:12:37Z,"hip hop,east coast hip hop,r&b","Bad Boy Records",,,,,,,,,,,,
spotify:track:3D1HS330ITnaTIV1RTFJ0L,"Dance","Dance","Freischwimmer;HYM;JONA XX",2019-03-29,195386,31,false,vane_sarahi,2023-02-01T23:12:46Z,"slap house,tropical house","NITRON music",0.725,0.84,7,-3.833,0,0.0754,0.0718,0,0.138,0.565,119.99,4
