Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,"What Hurts The Most","Me And My Gang","Rascal Flatts",2006-11-13,214106,71,false,,2020-10-09T20:28:40Z,"country","Lyric Street",0.537,0.674,5,-5.134,0,0.0277,0.0088,0,0.265,0.33,136.002,4
spotify:track:5Ia7KtfGKoRuO6spIdZTc9,"Felicidades","Felicidades","Dustin Richie",2018-12-09,257024,19,false,,2020-10-06T19:25:53Z,"bachata","Dustin Richie",0.637,0.737,6,-7.772,1,0.0361,0.73,0.00000243,0.238,0.675,146.019,4
spotify:track:5SkpnWd7oWjDExIaw9iSNq,"Palabras Que Matan","Palabras Que Matan","Dustin Richie",2018-01-31,251358,40,false,,2020-10-06T19:18:13Z,"bachata","Dustin Richie",0.686,0.715,3,-7.246,0,0.0403,0.274,0,0.115,0.435,137.972,4
spotify:track:4y39awYJT9P4rkzeAWQYnC,"Tú","Tú","Dustin Richie",2016-12-27,201401,43,false,,2020-10-06T19:15:57Z,"bachata","Dustin Richie",0.745,0.824,11,-6.609,1,0.0378,0.281,0,0.104,0.865,130.045,4
spotify:track:3ndbjWW70L6fGzAbAO6uJ2,"Sed de Ti","Sed de Ti","Dustin Richie",2019-01-31,201230,46,false,,2020-10-06T19:10:43Z,"bachata","Dustin Richie",0.685,0.734,4,-7.611,0,0.0277,0.657,0,0.296,0.812,130.055,4
spotify:track:4WVeyESDxYBmUjwhJt08sS,"Bachata a Lo Loco","Bachata a Lo Loco","Dustin Richie",2016-08-02,205456,46,false,,2020-10-06T19:04:58Z,"bachata","Dustin Richie",0.717,0.84,3,-6.185,0,0.0338,0.312,0,0.115,0.962,143.933,4
spotify:track:2UGpJ5or8EJVtcFuNdyFgg,"Runaway","sad girl","Sasha Alex Sloan",2018-04-18,217413,32,true,,2020-09-30T23:13:57Z,"","RCA Records Label",0.676,0.405,5,-8.272,1,0.0376,0.732,0.0000588,0.103,0.208,139.975,4
spotify:track:64sp7I8wf70B7OLOpih6XJ,"Normal","sad girl","Sasha Alex Sloan",2018-04-18,191360,38,false,,2020-09-30T23:10:20Z,"","RCA Records Label",0.749,0.419,5,-9.41,1,0.0719,0.528,0.00000785,0.113,0.279,120.166,4
spotify:track:175y20xw677gwBNO4HKBNw,"smiling when i die","Self Portrait","Sasha Alex Sloan",2019-10-18,206374,29,false,,2020-09-30T23:09:33Z,"","RCA Records Label",0.697,0.413,0,-10.59,0,0.169,0.834,0.00179,0.105,0.264,92.908,4
spotify:track:4coYn6E3vS3DfxZNsCyeSl,"Dancing With Your Ghost","Self Portrait","Sasha Alex Sloan",2019-10-18,198919,40,false,,2020-09-30T23:08:46Z,"","RCA Records Label",0.63,0.318,11,-8.319,1,0.027,0.745,0.0000128,0.105,0.38,74.949,4
spotify:track:04NMWz4ctkuILV6mUR2iWp,"Lie","Lie","Sasha Alex Sloan",2020-08-07,209131,45,false,,2020-09-30T23:08:06Z,"","RCA Records Label",0.718,0.483,8,-6.596,1,0.0381,0.387,0.000208,0.124,0.29,103.997,4
spotify:track:0Ea93OZ0O50zKius7W3lU7,"Is It Just Me?","Is It Just Me?","Sasha Alex Sloan",2020-09-18,215040,38,true,,2020-09-30T23:07:38Z,"","RCA Records Label",0.66,0.514,2,-8.132,1,0.0339,0.755,0.00679,0.259,0.171,91.999,4
spotify:track:4icWKp3UtiqeuHmWvNfhNT,"Cien","Primera Cita","CNCO",2016-08-26,187626,50,false,,2020-09-23T22:37:24Z,"reggaeton,latin","Sony Music Latin",0.606,0.63,7,-4.472,1,0.0474,0.205,0,0.0966,0.397,160.171,4
spotify:track:0Rc7wo1xBC3Y2OnOzzG5jY,"Más Allá","Primera Cita","CNCO",2016-08-26,220586,39,false,,2020-09-23T22:37:24Z,"reggaeton,latin","Sony Music Latin",0.614,0.912,6,-3.204,0,0.0336,0.0133,0,0.374,0.787,129.993,4
spotify:track:1h4ZYGbM5piUILrAKNT6e2,"Tu Luz","Primera Cita","CNCO",2016-08-26,233000,41,false,,2020-09-23T22:37:23Z,"reggaeton,latin","Sony Music Latin",0.64,0.792,2,-5.59,0,0.0348,0.00567,0,0.373,0.199,122.953,4
spotify:track:46kk8o20nT5KOEn7gM0AOx,"Volverte a Ver","Primera Cita","CNCO",2016-08-26,251186,48,false,,2020-09-23T22:37:22Z,"reggaeton,latin","Sony Music Latin",0.684,0.868,10,-4.521,1,0.0451,0.17,0,0.139,0.522,90.025,4
spotify:track:1WQ7bva0BxjqoJP2bXWIIG,"Cometa","Primera Cita","CNCO",2016-08-26,217600,40,false,,2020-09-23T22:37:21Z,"reggaeton,latin","Sony Music Latin",0.304,0.363,4,-9.313,1,0.0313,0.79,0,0.147,0.117,150.299,4
spotify:track:4Pt1JU8SpkG1p8Pst5x3Q2,"No Entiendo","Primera Cita","CNCO",2016-08-26,252520,45,false,,2020-09-23T22:19:36Z,"reggaeton,latin","Sony Music Latin",0.621,0.829,10,-5.067,1,0.13,0.25,0,0.0941,0.369,110.081,4
spotify:track:3B21fRFqPLmTd9zAlK0I8A,"Para Enamorarte","Primera Cita","CNCO",2016-08-26,188413,58,false,,2020-09-23T22:15:13Z,"reggaeton,latin","Sony Music Latin",0.817,0.676,2,-4.607,1,0.0379,0.0924,0,0.0988,0.796,115.999,4
spotify:track:1qRbIT7dCBd8crDyfiXIFN,"Primera Cita","Primera Cita","CNCO",2016-08-26,218720,43,false,,2020-09-23T22:15:12Z,"reggaeton,latin","Sony Music Latin",0.612,0.686,10,-5.375,1,0.0337,0.221,0,0.133,0.515,94.932,4
spotify:track:1TxgZRcy3kZ7JaEp88MDbC,"Tan Fácil","Primera Cita","CNCO",2016-08-26,210546,62,false,,2020-09-23T20:56:21Z,"reggaeton,latin","Sony Music Latin",0.706,0.884,10,-3.767,1,0.0435,0.292,0,0.344,0.506,90.036,4
